year,peninsula,species,count
2014,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,2
2020,C,BCNH,1
2014,C,BCNH,3
2016,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,2
2014,C,BCNH,3
2015,C,BCNH,2
2016,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2020,C,BCNH,2
2014,C,BCNH,3
2015,C,BCNH,2
2016,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,4
2016,C,BCNH,2
2014,C,BCNH,3
2015,C,BCNH,1
2016,C,BCNH,1
