treeid,year,xcoord,ycoord,tag,peninsula,northing,easting,bcnh_count,dcco_count
6718,2005,633914.662000000011176,4831262.254999999888241,6718,B,,,2,0
6718,2006,633914.662000000011176,4831262.254999999888241,6718,B,,,1,0
6719,2003,633912.078600000008009,4831261.792999999597669,6719,B,,,1,0
6719,2004,633912.078600000008009,4831261.792999999597669,6719,B,,,2,0
6719,2005,633912.078600000008009,4831261.792999999597669,6719,B,,,1,0
6728,2003,633877.342799999983981,4831279.126099999994040,6728,B,,,1,0
6730,2003,633892.062999999965541,4831284.797299999743700,6730,B,,,1,0
6747,2003,633898.118099999963306,4831253.770299999974668,6747,B,,,2,0
6747,2004,633898.118099999963306,4831253.770299999974668,6747,B,,,2,0
6747,2005,633898.118099999963306,4831253.770299999974668,6747,B,,,2,0
6747,2007,633898.118099999963306,4831253.770299999974668,6747,B,,,10,0
6752,2003,633900.554499999969266,4831251.117999999783933,6752,B,,,1,0
6752,2005,633900.554499999969266,4831251.117999999783933,6752,B,,,1,0
6752,2007,633900.554499999969266,4831251.117999999783933,6752,B,,,12,0
6943,2005,633959.052499999990687,4831326.310200000181794,6943,B,,,1,7
6946,2003,633975.081099999952130,4831252.792299999855459,6946,B,,,1,0
6946,2008,633975.081099999952130,4831252.792299999855459,6946,B,,,1,0
6947,2003,633973.776199999963865,4831246.079300000332296,6947,B,,,2,0
6947,2004,633973.776199999963865,4831246.079300000332296,6947,B,,,3,0
6947,2009,633973.776199999963865,4831246.079300000332296,6947,B,,,1,0
6947,2011,633973.776199999963865,4831246.079300000332296,6947,B,,,1,0
6948,2003,633968.411899999948218,4831244.418999999761581,6948,B,,,1,0
6948,2004,633968.411899999948218,4831244.418999999761581,6948,B,,,1,0
6948,2005,633968.411899999948218,4831244.418999999761581,6948,B,,,1,0
6948,2011,633968.411899999948218,4831244.418999999761581,6948,B,,,1,0
6949,2003,633963.794299999950454,4831241.624400000087917,6949,B,,,1,0
6949,2004,633963.794299999950454,4831241.624400000087917,6949,B,,,1,0
6949,2005,633963.794299999950454,4831241.624400000087917,6949,B,,,2,0
6949,2006,633963.794299999950454,4831241.624400000087917,6949,B,,,1,0
6949,2007,633963.794299999950454,4831241.624400000087917,6949,B,,,1,0
6949,2009,633963.794299999950454,4831241.624400000087917,6949,B,,,1,0
6950,2003,633960.400999999954365,4831239.008100000210106,6950,B,,,1,0
6950,2006,633960.400999999954365,4831239.008100000210106,6950,B,,,2,1
6951,2003,633954.287200000020675,4831227.961000000126660,6951,B,,,1,0
